point_res_7,count
608798056539750399,26
608802461699801087,34
608798060432064511,75
608799903023366143,10
608802664788000767,15
608801867215929343,52
609313109252767743,93
608797100154552319,4
609313442196619263,57
608802094748532735,5
608797081934495743,52
608801807203827711,175
608811037122101247,12
608802049080950783,2
608802668445433855,22
608796872470953983,104
608802230409101311,6
608798052664213503,50
608801899746951167,19
608801942847619071,19
608798172101214207,22
608802017153908735,35
608802704633888767,17
608798056355201023,12
608801973851914239,14
608802202894467071,9
608796090568802303,4
608802685340090367,5
608801961638100991,15
608802998923034623,2
608796072147419135,94
608802442875764735,2
608801810525716479,20
608801820323610623,48
609313169180983295,1
608806848623017983,11
608802440208187391,2
608796020574257151,9
609313168375676927,20
609290437731024895,38
608796195795501055,5
608803280746708991,22
608798152404762623,32
608798037178843135,12
608802709918711807,9
608819058007080959,28
609313178928545791,5
608803310341718015,55
608802735722070015,34
608811997030514687,62
608803260781821951,12
608801957695455231,43
608801879832395775,16
608819036381249535,18
608798042849542143,40
608798053050089471,25
608803177583607807,50
608798039577985023,13
608798050734833663,16
608844285470572543,13
608801893656821759,25
609312104716959743,12
608798172520644607,49
609313414044450815,1
608807118216101887,33
609312253077880831,11
608802246984990719,35
608796523337089023,8
608798175976751103,4
608801867618582527,5
608807054496235519,5
608802622408753151,10
608798040517509119,3
608801862954516479,153
608802991306178559,28
608799904684310527,116
608798014680596479,30
608802938978041855,51
608799904231325695,10
608803261620682751,4
608811053781876735,8
609290387382599679,72
608802378585473023,18
608801799184318463,10
608798036759412735,23
609312380031074303,15
608798010385629183,23
608845318544424959,4
608818991518973951,29
608803327823577087,10
609290389563637759,17
609312262070468607,29
609312266365435903,5
608801807975579647,19
608798043956838399,24
608797100490096639,49
608819080505327615,30
608802732819611647,15
608802685121986559,6
608803330507931647,8
608802655426314239,49
608803196726411263,5
608802440191410175,4
609312287789940735,76
608795760225419263,21
608795883722506239,1
609312012861702143,3
608845317470683135,16
609313163829051391,19
608803200836829183,9
608795766382657535,2
608802220778979327,22
608797280912277503,14
609312373420851199,21
608797253263425535,10
608802094832418815,9
609312151894491135,3
608803202699100159,35
608802806907797503,2
608797104449519615,5
608802577663918079,4
608802432675217407,118
608803220382285823,10
608802578871877631,29
608802590649483263,73
608797098644602879,14
608803167852822527,58
608802617912459263,2
608802938810269695,16
608801789940072447,37
608797269201780735,7
609313165674545151,9
608802616285069311,3
608819055876374527,12
608801900619366399,19
608844343268081663,2
608801807505817599,21
608795740512190463,4
608803198773231615,16
609312289031454719,1
608802788805181439,39
608797278345363455,5
608796072516517887,12
608803230515724287,3
608802667573018623,8
608819090236112895,6
608802789291720703,65
608801874144919551,11
608795269827395583,8
608802017455898623,12
608796047719792639,29
608802388786020351,4
608795776616759295,2
608795745763459071,1
608802389222227967,19
608796135649181695,3
609312911667494911,7
608819090353553407,41
608802433010761727,5
608818859599724543,4
608818971688304639,61
608796053071724543,1
608796207589883903,1
608801885385654271,2
609312115420823551,8
608797081196298239,13
608802463444631551,8
608801910819913727,4
608798172453535743,5
608802453948727295,14
608802455274127359,29
608796862723391487,20
608803219543425023,3
608796897670332415,16
608801788782444543,29
608798044376268799,27
608802789627265023,19
608795759755657215,1
608797035797151743,8
608802248209727487,10
608819091410518015,16
608801808210460671,2
608801961789095935,13
608801929761390591,11
608796019936722943,9
608844329024225279,3
608802655275319295,4
608802892505153535,11
608845288982970367,1
608796161301544959,4
608797101060521983,2
609313168291790847,2
608819051665293311,1
608844369222434815,29
608844369037885439,5
608803000181325823,6
608801840624041983,6
608798009597100031,17
608802658764980223,19
608803231807569919,16
608796064916439039,9
608798194918227967,16
608797281382039551,5
608803190770499583,13
608803276283969535,22
608802790499680255,1
608797277925933055,2
608802788939399167,26
608801813142962175,7
608803232008896511,11
609312833787658239,6
608802705170759679,11
609312790284337151,12
608802739513720831,8
609312835482157055,2
609312313811402751,4
609312314885144575,10
608802787127459839,1
608819001669189631,2
608798194347802623,6
608796164656988159,33
608811999312216063,5
609312892893790207,2
608803063783751679,30
609312891048296447,5
609312891199291391,3
608797093812764671,22
608803171074047999,3
608802577848467455,11
608801899025530879,5
608798020653285375,9
608803284454473727,23
608797082806910975,3
608819203750756351,1
608819080622768127,4
608802892236718079,5
608798050952937471,6
608811036568453119,7
609312235965120511,25
608802410277634047,4
608802434403270655,3
608798017180401663,21
609312413350625279,19
608803283598835711,1
608801959272513535,2
608803003083784191,5
